职位标题,职位链接
AI人工智能算法工程师,http://www.zhaopin.com/jobdetail/CC120543470J40821012215.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
Golang后端开发工程师（AI产品）,http://www.zhaopin.com/jobdetail/CC138117190J40834030505.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
Java高级工程师(AI应用中间件方向),http://www.zhaopin.com/jobdetail/CC383625320J40812403409.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI算法工程师,http://www.zhaopin.com/jobdetail/CC501386120J40816554910.htm?refcode=4019&srccode=401903&preactionid=d0081f29-779d-4ed5-b3ef-cc83a8e44a79
AI智能聊天应用产品经理,http://www.zhaopin.com/jobdetail/CC872232590J40896561908.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
高阶AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40712308709.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI 中高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832690814.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
游戏AI算法工程师（棋牌类策略方向）,http://www.zhaopin.com/jobdetail/CCL1406658260J40883101702.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
下沉市场 - AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40740832109.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
农业ai高级销售,http://www.zhaopin.com/jobdetail/CC120842700J40810370910.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
Java、全栈、Ai、Python（应届可投）,http://www.zhaopin.com/jobdetail/CCL1480117890J40834342105.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
大模型应用-软件工程师（对话式AI/多模态交互/Agent）,http://www.zhaopin.com/jobdetail/CC383625320J40748802909.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI研发工程师（数据分析与智能体方向）,http://www.zhaopin.com/jobdetail/CC000402820J40710140602.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
ai美学工程师,http://www.zhaopin.com/jobdetail/CC138117190J40833751205.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
产品视觉设计师（AI 方向）,http://www.zhaopin.com/jobdetail/CC383625320J40702658609.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
大模型Ai训练师（推理代码),http://www.zhaopin.com/jobdetail/CCL1480117890J40809647605.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI/动画/短视频,http://www.zhaopin.com/jobdetail/CC136432980J40781596316.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI搜索方向_业务研发工程师-实习JD,http://www.zhaopin.com/jobdetail/CC383625320J40766359909.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI产品经理（招聘产品）,http://www.zhaopin.com/jobdetail/CCL1480117890J40832024705.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
"系统开发, AI驱动, 智能开发",http://www.zhaopin.com/jobdetail/CC000592670J40778226016.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
餐饮商家AI产品,http://www.zhaopin.com/jobdetail/CC383625320J40820770909.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI算法工程师,http://www.zhaopin.com/jobdetail/CC000402820J40766742302.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
AI产品经理,http://www.zhaopin.com/jobdetail/CC232405810J40800929405.htm?refcode=4019&srccode=401903&preactionid=51fa5500-96db-4aa5-88d7-1b665a053b92
